City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bredasdorp,-34.5322,20.0403,51.3,90,100,6.22,ZA,1658862807
Rikitea,-23.1203,-134.9692,75.24,76,100,13.6,PF,1658862808
Shouguang,36.88,118.7375,71.46,96,3,5.23,CN,1658862808
Gaziantep,37.0594,37.3825,78.73,32,0,1.14,TR,1658862809
Bathsheba,13.2167,-59.5167,86.61,78,20,20.71,BB,1658862809
Sistranda,63.7256,8.834,53.56,83,100,22.82,NO,1658862809
Busselton,-33.65,115.3333,49.42,83,0,6.62,AU,1658862810
Vardø,70.3705,31.1107,57.18,100,75,6.91,NO,1658862810
Puerto Ayora,-0.7393,-90.3518,78.76,87,100,5.99,EC,1658862811
St. George's,12.0564,-61.7485,85.68,74,75,11.5,GD,1658862811
Pirojpur,22.5667,89.9833,80.56,84,100,3.67,BD,1658862812
Praia,14.9215,-23.5087,82.94,69,40,2.3,CV,1658862812
Thompson,55.7435,-97.8558,61.54,67,100,8.52,CA,1658862812
Aknada,42.4016,46.1723,52.77,92,99,6.08,RU,1658862813
Faanui,-16.4833,-151.75,77.49,74,44,11.45,PF,1658862813
Harar,9.3094,42.1258,64.06,59,30,7.56,ET,1658862814
College,64.8569,-147.8028,56.07,58,75,13.8,US,1658862814
Tiznit Province,29.5833,-9.5,92.17,21,0,9.33,MA,1658862814
Port Elizabeth,-33.918,25.5701,63.64,49,10,3.56,ZA,1658862815
Pemangkat,1.1667,108.9667,77.95,87,100,4.41,ID,1658862815
Lebu,-37.6167,-73.65,54.1,78,3,17.98,CL,1658862816
Roald,62.5833,6.1333,56.16,87,75,9.22,NO,1658862816
Saint-Philippe,-21.3585,55.7679,66.22,81,4,9.17,RE,1658862817
Hithadhoo,-0.6,73.0833,81.19,76,100,12.12,MV,1658862817
Cockburn Town,21.4612,-71.1419,82.65,79,2,19.77,TC,1658862817
Ushuaia,-54.8,-68.3,38.82,60,20,9.22,AR,1658862807
Dom Pedro,-4.4833,-44.45,93.63,29,80,3.56,BR,1658862818
Dabakala,8.3667,-4.4333,76.33,78,100,3.33,CI,1658862818
Kendari,-3.945,122.4989,73.94,94,97,2.75,ID,1658862819
Goderich,43.7501,-81.7165,74.91,58,0,4.85,CA,1658862780
Corinth,37.9407,22.9573,85.89,52,0,3.15,GR,1658862819
Qaanaaq,77.484,-69.3632,44.15,61,53,3.2,GL,1658862820
Soyo,-6.1349,12.3689,70.65,85,33,8.95,AO,1658862820
Bangaon,23.0667,88.8167,79.57,86,67,5.23,IN,1658862821
Tuatapere,-46.1333,167.6833,44.4,95,100,9.84,NZ,1658862821
Nikolskoye,59.7035,30.7861,73.8,70,83,6.91,RU,1658862821
Lavrentiya,65.5833,-171.0,38.79,89,100,14.56,RU,1658862822
Tilichiki,60.4667,166.1,50.81,79,100,4.97,RU,1658862822
Prince Rupert,54.3161,-130.3201,67.51,75,85,6.29,CA,1658862681
Jamestown,42.097,-79.2353,79.02,53,40,9.22,US,1658862823
Bonfim,3.0833,-59.95,85.5,65,60,3.24,BR,1658862823
Santa Cruz de la Sierra,-17.8,-63.1667,90.86,43,40,16.11,BO,1658862540
Songjianghe,42.1859,127.479,63.86,96,33,2.46,CN,1658862824
Kavieng,-2.5744,150.7967,82.27,70,100,12.48,PG,1658862824
Ilulissat,69.2167,-51.1,50.02,81,75,5.75,GL,1658862825
Iki-Burul,45.8208,44.6472,78.06,45,57,7.65,RU,1658862825
Anaconda,46.1285,-112.9423,79.79,34,9,3.67,US,1658862826
Souillac,-20.5167,57.5167,69.46,84,0,11.18,MU,1658862826
Chapais,49.7834,-74.8492,58.78,88,99,12.08,CA,1658862826
Pisco,-13.7,-76.2167,64.45,77,20,8.05,PE,1658862827
Porto-Novo,6.4965,2.6036,76.71,85,100,10.18,BJ,1658862827
Novikovo,51.1537,37.8879,67.5,83,42,4.88,RU,1658862828
Novyye Burasy,52.1324,46.0714,65.17,84,1,4.41,RU,1658862828
Esperance,-33.8667,121.9,57.11,81,100,8.43,AU,1658862828
Port Alfred,-33.5906,26.891,64.09,59,0,10.49,ZA,1658862829
Estevan,49.1334,-102.9842,71.22,38,78,12.68,CA,1658862829
Vangaindrano,-23.35,47.6,68.2,83,90,3.49,MG,1658862829
George Town,5.4112,100.3354,82.33,85,20,2.3,MY,1658862707
Flagstaff,35.1981,-111.6513,70.02,84,100,5.75,US,1658862692
Ketchikan,55.3422,-131.6461,68.47,77,0,14.97,US,1658862719
Noumea,-22.2763,166.4572,57.18,76,0,6.31,NC,1658862830
Nuuk,64.1835,-51.7216,47.01,81,75,4.61,GL,1658862831
Ribeira Grande,38.5167,-28.7,77.4,83,20,10.36,PT,1658862831
Tanout,14.9709,8.8879,97.57,13,22,6.38,NE,1658862831
Hermanus,-34.4187,19.2345,51.8,88,100,6.85,ZA,1658862832
Dargaville,-35.9333,173.8833,54.97,80,77,16.49,NZ,1658862832
Lorengau,-2.0226,147.2712,80.74,81,100,7.83,PG,1658862832
Pevek,69.7008,170.3133,33.87,83,85,5.66,RU,1658862833
Buala,-8.145,159.5921,78.26,84,83,4.54,SB,1658862833
Nísia Floresta,-6.0911,-35.2086,81.41,74,78,11.72,BR,1658862834
Itapirapuã,-15.8233,-50.6133,93.76,16,0,4.29,BR,1658862834
Carnarvon,-24.8667,113.6333,63.14,52,0,11.1,AU,1658862834
Port Hedland,-20.3167,118.5667,60.85,48,5,8.05,AU,1658862835
Avarua,-21.2078,-159.775,71.65,68,100,12.66,CK,1658862835
Leningradskiy,69.3833,178.4167,33.31,99,100,8.79,RU,1658862835
Berlevåg,70.8578,29.0864,62.6,88,100,2.3,NO,1658862836
Banjar,-8.19,114.9675,74.34,88,31,5.3,ID,1658862836
Dubai,25.2582,55.3047,95.25,46,0,13.8,AE,1658862718
Salalah,17.0151,54.0924,77.09,100,100,8.05,OM,1658862837
Tura,25.5198,90.2201,72.39,89,20,2.53,IN,1658862837
Alofi,-19.0595,-169.9187,73.63,64,47,19.04,NU,1658862837
Rehoboth,-23.3167,17.0833,58.53,20,0,9.64,NA,1658862838
Lüderitz,-26.6481,15.1594,56.46,80,39,4.76,NA,1658862838
Havre-St-Pierre,50.2334,-63.5986,61.56,76,0,23.06,CA,1658862839
Camacha,33.0833,-16.3333,69.22,83,40,17.27,PT,1658862839
Upernavik,72.7868,-56.1549,38.53,89,100,11.48,GL,1658862839
Periyanayakkanpalaiyam,11.15,76.9333,74.79,94,75,4.61,IN,1658862840
Cidreira,-30.1811,-50.2056,64.15,86,13,12.26,BR,1658862840
Channel-Port aux Basques,47.5702,-59.1367,63.99,88,17,12.12,CA,1658862840
Souris,49.6172,-100.2612,71.74,49,15,12.26,CA,1658862841
Mount Gambier,-37.8333,140.7667,49.91,93,75,8.05,AU,1658862841
Boa Vista,2.8197,-60.6733,87.78,62,40,11.5,BR,1658862695
Norman Wells,65.282,-126.8329,76.93,41,100,5.61,CA,1658862842
Gibsons,49.3997,-123.5027,98.04,61,0,2.75,CA,1658862842
Vila Franca do Campo,37.7167,-25.4333,73.81,81,52,6.04,PT,1658862843
Kenai,60.5544,-151.2583,57.29,69,0,20.71,US,1658862843
San Quintín,30.4833,-115.95,74.03,64,17,11.79,MX,1658862843
Katsuura,35.1333,140.3,79.16,90,97,13.47,JP,1658862844
Madang,-5.2246,145.7966,76.91,91,100,0.54,PG,1658862844
Port-Gentil,-0.7193,8.7815,75.16,83,100,10.36,GA,1658862845
Inhambane,-23.865,35.3833,64.24,70,0,5.64,MZ,1658862845
Petropavlovka,50.6114,105.3196,52.68,78,100,5.23,RU,1658862846
Ancud,-41.8697,-73.8203,52.23,84,83,8.72,CL,1658862846
Laguna,38.421,-121.4238,92.17,46,0,4.61,US,1658862846
Teguise,29.0605,-13.564,84.42,48,0,26.46,ES,1658862847
Piney Green,34.716,-77.3202,93.02,71,0,10.36,US,1658862847
Harindānga,22.0383,88.3214,80.11,85,53,4.9,IN,1658862848
Palekastro,35.2,26.25,76.19,72,0,14.65,GR,1658862848
Araranguá,-28.9347,-49.4858,71.22,68,1,6.8,BR,1658862848
Laas,46.6166,10.7002,70.7,89,55,5.1,IT,1658862849
Marawi,7.9986,124.2928,68.9,92,100,3.22,PH,1658862849
Beringovskiy,63.05,179.3167,47.75,81,100,6.58,RU,1658862850
Panabá,21.2833,-88.2667,90.77,52,100,7.09,MX,1658862850
Darhan,49.4867,105.9228,56.64,76,100,2.91,MN,1658862851
Vernon,50.2581,-119.2691,91.62,27,2,3.0,CA,1658862851
Boende,-0.2167,20.8667,73.06,93,100,3.02,CD,1658862852
Hambantota,6.1241,81.1185,78.3,85,100,3.58,LK,1658862852
Río Cuarto,-33.1307,-64.3499,58.77,100,100,8.05,AR,1658862852
La Vergne,36.0156,-86.5819,95.13,60,20,11.5,US,1658862738
Henties Bay,-22.116,14.2845,54.37,86,64,9.1,NA,1658862853
Tsaratanana,-16.7833,47.65,65.64,73,0,6.15,MG,1658862854
Ngunguru,-35.6167,174.5,54.7,76,40,14.61,NZ,1658862854
Meulaboh,4.1363,96.1285,74.25,94,100,6.96,ID,1658862855
Tolmin,46.183,13.7332,80.19,71,62,5.99,SI,1658862855
Cascais,38.6979,-9.4215,77.61,66,20,23.02,PT,1658862838
Arinos,-15.9169,-46.1056,85.77,23,0,6.62,BR,1658862856
Klaksvík,62.2266,-6.589,52.72,75,91,9.55,FO,1658862856
Daru,-9.0763,143.2092,76.26,82,99,13.24,PG,1658862857
Padang,-0.9492,100.3543,76.17,86,98,3.47,ID,1658862857
Vao,-22.6667,167.4833,67.44,62,0,6.73,NC,1658862857
Vila,42.0304,-8.1588,68.7,53,0,4.68,PT,1658862858
Macenta,8.5435,-9.471,70.23,95,90,1.07,GN,1658862858
Jizan,17.3333,42.6667,90.61,64,100,6.96,SA,1658862859
Bowen,-20.0167,148.2333,60.84,87,0,4.65,AU,1658862859
Hobart,-42.8794,147.3294,44.46,95,100,4.61,AU,1658862616
Novyy Urgal,51.0736,132.5642,62.19,99,55,1.74,RU,1658862860
Sandovo,58.4602,36.4128,67.32,81,89,2.82,RU,1658862860
Coahuayana Viejo,18.7333,-103.6833,91.0,54,58,6.87,MX,1658862861
Dingle,10.9995,122.6711,76.48,92,56,3.98,PH,1658862861
Oranjemund,-28.55,16.4333,55.02,86,69,2.55,NA,1658862861
Palmer,42.1584,-72.3287,82.92,50,75,9.22,US,1658862862
Atar,20.5169,-13.0499,103.15,23,40,7.11,MR,1658862862
Bama,11.5221,13.6856,76.42,70,100,13.8,NG,1658862863
Sitka,57.0531,-135.33,57.09,94,100,3.44,US,1658862863
Cherskiy,68.75,161.3,42.13,68,4,9.71,RU,1658862864
Bengkulu,-3.8004,102.2655,75.9,87,100,3.6,ID,1658862854
Nantucket,41.2835,-70.0995,82.54,76,0,8.05,US,1658862864
Belokurikha,51.9959,84.9896,57.29,76,0,5.19,RU,1658862865
Lydenburg,-25.0978,30.4597,53.4,61,0,1.5,ZA,1658862865
Ipixuna,-1.7625,-48.8043,88.57,55,100,1.3,BR,1658862866
Province of Mantua,45.1667,10.7833,88.84,70,99,8.79,IT,1658862866
Rūdbār,30.15,62.6,87.67,55,16,14.25,AF,1658862866
Bethel,41.3712,-73.414,83.55,50,40,5.75,US,1658862867
Waipawa,-41.4122,175.5153,48.61,97,100,9.42,NZ,1658862867
Weligama,5.9667,80.4167,77.31,90,88,4.68,LK,1658862868
Nabire,-3.3667,135.4833,74.46,90,49,4.21,ID,1658862868
Ţahţā,26.7693,31.5021,91.6,13,0,7.27,EG,1658862599
Rafai,4.95,23.9167,69.42,97,100,1.48,CF,1658862869
Nowy Dwór Gdański,54.2131,19.1177,66.2,79,100,10.04,PL,1658862870
Erzin,36.9559,36.2,77.13,65,0,1.61,TR,1658862870
Anadyr,64.75,177.4833,48.49,81,100,5.68,RU,1658862870
Chico,39.7285,-121.8375,80.49,13,90,5.39,US,1658862819
Sibolga,1.7427,98.7792,75.63,91,100,2.73,ID,1658862871
Aleksandrovskiy Zavod,50.9237,117.9374,62.2,98,99,6.46,RU,1658862871
Champerico,14.3,-91.9167,91.94,70,44,6.69,GT,1658862872
Ulladulla,-35.35,150.4667,46.9,72,13,10.25,AU,1658862872
Spoleto,42.7448,12.7374,84.76,74,52,3.44,IT,1658862873
Zhezkazgan,47.8043,67.7144,78.78,38,0,10.92,KZ,1658862684
Belyy Yar,53.6039,91.3903,53.85,100,0,2.24,RU,1658862873
Nanortalik,60.1432,-45.2371,46.13,88,78,5.08,GL,1658862874
Belmonte,-15.8631,-38.8828,76.01,65,0,9.53,BR,1658862874
Utashinai,43.5167,142.05,64.96,98,64,0.74,JP,1658862875
Hasaki,35.7333,140.8333,77.4,91,100,16.37,JP,1658862875
Mount Isa,-20.7333,139.5,55.17,41,0,11.5,AU,1658862876
Arrondissement de Rennes,48.1667,-1.6667,69.84,49,0,12.66,FR,1658862812
Flin Flon,54.7682,-101.865,60.64,88,75,10.36,CA,1658862876
Bichura,50.5881,107.6022,54.61,90,100,6.33,RU,1658862877
Lakes Entrance,-37.8811,147.981,47.16,78,42,17.98,AU,1658862877
Tabou,4.423,-7.3528,75.72,79,100,9.26,CI,1658862878
Leça da Palmeira,41.191,-8.7003,78.19,73,0,10.36,PT,1658862878
Zhigansk,66.7697,123.3711,62.11,68,70,2.62,RU,1658862878
Pierre,44.3683,-100.351,82.06,57,20,16.11,US,1658862695
Mēga,4.05,38.3,61.7,53,100,12.5,ET,1658862879
Taksimo,56.3444,114.8794,65.12,90,95,1.5,RU,1658862879
Te Anau,-45.4167,167.7167,41.88,98,100,3.11,NZ,1658862880
Rio Grande,-32.035,-52.0986,69.91,85,82,9.8,BR,1658862820
Gondanglegi,-7.7479,112.0132,72.03,87,14,6.22,ID,1658862880
Saint-Augustin,51.226,-58.6502,69.35,60,94,17.31,CA,1658862881
Stornoway,58.2093,-6.3865,55.92,78,75,6.91,GB,1658862881
Bud,39.447,-86.1758,73.42,86,100,3.98,US,1658862881
Lamu,-2.2717,40.902,73.62,82,98,17.85,KE,1658862882
Panshi,42.9422,126.0561,68.29,92,5,2.55,CN,1658862882
Gosen,37.7333,139.1667,76.8,90,23,2.19,JP,1658862883
Kyra,49.5776,111.9753,55.13,94,100,14.79,RU,1658862883
Saint Paul Harbor,57.79,-152.4072,54.91,62,0,0.0,US,1658862833
Haines Junction,60.7522,-137.5108,66.15,52,45,16.11,CA,1658862883
Kontagora,10.3999,5.4695,76.68,82,37,1.95,NG,1658862884
Atambua,-9.1061,124.8925,66.09,84,100,5.95,ID,1658862884
Chui,-33.6971,-53.4616,64.54,87,90,5.68,UY,1658862885
Ivanteyevka,55.9711,37.9208,77.34,76,97,4.99,RU,1658862885
Xushan,30.1764,121.2457,77.34,86,10,4.18,CN,1658862886
Bismil,37.8486,40.6658,85.73,14,0,5.55,TR,1658862886
Kumul,42.8,93.45,82.0,14,0,10.78,CN,1658862854
NEDJO,9.5046,35.5019,58.64,96,100,1.74,ET,1658862887
Aklavik,68.2191,-135.0107,68.49,44,100,13.4,CA,1658862597
Pudozh,61.8099,36.5345,64.0,87,61,4.74,RU,1658862887
Kerman,30.2832,57.0788,82.26,42,75,18.41,IR,1658862888
Grindavik,63.8424,-22.4338,54.07,94,100,23.02,IS,1658862888
Russell,32.3502,-85.1999,91.96,50,100,3.42,US,1658862888
Ust-Kuyga,70.0167,135.6,64.2,73,10,0.58,RU,1658862889
Tuktoyaktuk,69.4541,-133.0374,59.0,82,100,19.57,CA,1658862889
Dwārka,22.2394,68.9678,82.29,83,100,16.02,IN,1658862890
Port Blair,11.6667,92.75,81.32,82,100,3.65,IN,1658862890
Formosa,-26.1775,-58.1781,91.38,29,0,13.8,AR,1658862684
Portland,45.5234,-122.6762,93.99,44,0,8.05,US,1658862652
Fare,-16.7,-151.0167,77.22,74,68,7.67,PF,1658862891
Faya,18.3851,42.4509,69.91,57,100,4.52,SA,1658862891
Clyde River,70.4692,-68.5914,39.43,100,75,11.5,CA,1658862891
La Reforma,25.0833,-108.05,90.68,58,93,9.82,MX,1658862892
Ola,59.5833,151.2833,53.94,94,100,3.53,RU,1658862892
Deloraine,-41.5333,146.6667,38.14,90,41,2.68,AU,1658862892
Kloulklubed,7.0419,134.2556,73.9,71,100,2.71,PW,1658862893
Tiksi,71.6872,128.8694,51.46,83,55,2.64,RU,1658862893
Acarí,-15.4311,-74.6158,70.63,59,49,8.75,PE,1658862839
Tiarei,-17.5333,-149.3333,77.02,81,100,14.12,PF,1658862894
Chicama,-7.8447,-79.1469,63.14,65,100,9.53,PE,1658862894
Agios Nikolaos,38.4167,23.65,89.71,39,0,0.0,GR,1658862895
Doka,13.5167,35.7667,74.52,79,100,8.79,SD,1658862895
Itarema,-2.9248,-39.9167,82.74,59,20,15.57,BR,1658862896
Taltal,-25.4,-70.4833,62.22,72,40,5.19,CL,1658862896
Okhotsk,59.3833,143.3,56.16,87,100,4.76,RU,1658862896
Olafsvik,64.8945,-23.7142,53.01,90,100,13.69,IS,1658862897
Lompoc,34.6391,-120.4579,82.02,74,0,8.05,US,1658862743
Iqaluit,63.7506,-68.5145,44.04,78,69,8.37,CA,1658862776
Khovd,48.0056,91.6419,60.49,38,6,2.57,MN,1658862898
Jasidih,24.5167,86.65,81.05,75,93,10.94,IN,1658862898
Ngorongoro,-3.2397,35.4875,50.81,62,26,4.92,TZ,1658862898
Portobelo,9.55,-79.65,81.1,87,100,4.14,PA,1658862899
Makakilo City,21.3469,-158.0858,80.92,63,100,14.97,US,1658862737
Myitkyina,25.3833,97.4,73.87,99,100,1.59,MM,1658862900
Teknāf,20.8624,92.3058,80.22,81,68,4.41,BD,1658862900
Dolisie,-4.1997,12.6739,71.06,71,10,3.78,CG,1658862900
Talnakh,69.4865,88.3972,54.21,77,5,3.27,RU,1658862901
Shingū,33.7333,135.9833,77.61,94,100,2.77,JP,1658862659
Chipinge,-20.1883,32.6236,52.63,74,0,3.91,ZW,1658862902
Karwar,14.8,74.1333,77.76,83,100,4.36,IN,1658862902
Longyearbyen,78.2186,15.6401,48.04,87,75,8.05,SJ,1658862865
Geraldton,-28.7667,114.6,43.21,87,0,10.36,AU,1658862758
Freeport,40.6576,-73.5832,84.18,55,0,13.8,US,1658862650
Vostok,46.4856,135.8833,60.4,97,0,2.46,RU,1658862903
La Cruz,23.9167,-106.9,89.01,61,100,9.73,MX,1658862903
Gimbi,9.1667,35.8333,56.25,98,100,1.97,ET,1658862904
Kiryat Gat,31.61,34.7642,81.81,58,0,4.07,IL,1658862905
Yinchuan,38.4681,106.2731,77.14,32,100,9.62,CN,1658862905
Fairbanks,64.8378,-147.7164,57.2,57,75,18.41,US,1658862902
Auki,-8.7676,160.7034,75.74,87,61,3.58,SB,1658862906
Ust'-Omchug,61.15,149.6333,59.56,64,100,5.3,RU,1658862906
Sioux Lookout,50.1001,-91.917,66.27,82,75,9.22,CA,1658862907
Ivanava,52.1451,25.5365,68.88,58,100,8.21,BY,1658862907
Talcahuano,-36.7167,-73.1167,56.88,82,75,17.27,CL,1658862908
San Francisco,37.7749,-122.4194,82.99,77,20,11.5,US,1658862595
Kirkuk,35.4681,44.3922,92.68,8,0,6.69,IQ,1658862908
Gunjur,13.2019,-16.7339,82.47,74,40,8.05,GM,1658862909
Lagoa,39.05,-27.9833,74.16,86,11,12.46,PT,1658862909
Chokurdakh,70.6333,147.9167,43.81,67,98,11.3,RU,1658862909
Leh,34.1667,77.5833,61.65,68,100,3.09,IN,1658862910
Paragominas,-2.9667,-47.4833,91.15,36,100,3.96,BR,1658862911
Kalmunai,7.4167,81.8167,80.15,81,100,3.58,LK,1658862911
Aloleng,16.1307,119.7824,80.56,82,100,5.7,PH,1658862911
Nortelândia,-14.4547,-56.8028,97.99,17,6,4.21,BR,1658862912
Merauke,-8.4667,140.3333,76.14,85,99,14.34,ID,1658862912
São José da Tapera,-9.5583,-37.3811,72.99,88,66,12.48,BR,1658862913
Bandarbeyla,9.4942,50.8122,76.51,81,17,30.27,SO,1658862913
Talara,-4.5772,-81.2719,75.96,60,0,13.8,PE,1658862914
Buraidah,26.326,43.975,100.85,15,30,6.85,SA,1658862914
Ossora,59.2353,163.0719,58.01,80,100,0.74,RU,1658862915
Necochea,-38.5473,-58.7368,57.31,90,100,6.98,AR,1658862915
Tolmachëvo,54.9824,82.7363,64.38,88,0,2.24,RU,1658862916
Airai,-8.9266,125.4092,53.29,70,100,3.67,TL,1658862916
Millinocket,45.6573,-68.7098,75.42,57,100,4.61,US,1658862917
Samarai,-10.6167,150.6667,78.49,85,28,10.27,PG,1658862917
Chaihe,44.7667,129.7,67.01,94,78,0.2,CN,1658862917
Niquelândia,-14.4739,-48.4597,89.47,16,0,7.72,BR,1658862918
San Patricio,28.017,-97.5169,97.52,42,47,17.2,US,1658862918
Okahandja,-21.9833,16.9167,60.28,22,0,7.72,NA,1658862919
Minsk,53.9,27.5667,65.95,78,100,3.87,BY,1658862657
Gannan,47.9147,123.5031,67.62,97,100,5.48,CN,1658862919
Husavik,66.0449,-17.3389,54.28,73,94,5.75,IS,1658862920
Santiago del Estero,-27.7951,-64.2615,89.02,36,16,6.49,AR,1658862920
Matara,5.9485,80.5353,77.25,91,91,3.31,LK,1658862836
Mackay,-21.15,149.2,55.69,85,0,7.29,AU,1658862921
Udachny,66.4167,112.4,70.45,72,96,7.67,RU,1658862921
Caraballeda,10.6112,-66.8522,89.67,89,40,6.91,VE,1658862921
Vrangel',42.7297,133.0839,67.59,94,100,5.59,RU,1658862922
Prado,-17.3411,-39.2208,75.11,69,3,8.37,BR,1658862630
Los Llanos de Aridane,28.6585,-17.9182,80.35,39,0,18.41,ES,1658862922
Soloneshnoye,51.6544,84.3197,54.3,82,0,4.74,RU,1658862923
Provideniya,64.3833,-173.3,44.82,66,68,4.92,RU,1658862923
Trofors,65.5333,13.4063,55.27,97,100,5.64,NO,1658862924
Rørvik,64.8621,11.2373,55.38,91,100,26.46,NO,1658862924
George,-33.963,22.4617,56.75,67,100,5.75,ZA,1658862924
Waitara,-38.925,174.25,58.5,92,100,28.79,NZ,1658862925
Juneau,58.3019,-134.4197,61.84,100,100,3.44,US,1658862925
Neftçala,39.3742,49.2472,77.22,64,0,8.72,AZ,1658862926
Binuangan,8.9153,124.7883,75.42,78,100,3.96,PH,1658862926
Japura,-0.3167,102.35,74.05,97,81,2.48,ID,1658862926
Borgarnes,64.5383,-21.9206,58.8,81,100,5.14,IS,1658862927
San Cristobal,7.7669,-72.225,84.38,53,54,5.28,VE,1658862927
Petra,30.3222,35.4793,73.24,29,0,5.95,JO,1658862928
Chai Badan,15.2,101.1333,80.26,79,85,4.0,TH,1658862928
Price,39.5994,-110.8107,88.86,25,0,6.91,US,1658862928
Warwick,41.7001,-71.4162,84.15,52,75,12.66,US,1658862649
Kavaratti,10.5669,72.642,80.82,78,100,16.6,IN,1658862929
Yar-Sale,66.8333,70.8333,48.72,88,100,9.93,RU,1658862930
Goth Phulji,26.8825,67.6807,83.17,85,100,3.56,PK,1658862930
Nemuro,43.3236,145.575,62.85,96,100,4.09,JP,1658862777
Nome,64.5011,-165.4064,44.67,76,100,21.85,US,1658862782
